16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
0,99,1
1,97,3
2,96,4
3,96,4
4,94,6
5,89,11
6,85,15
7,78,22
8,63,37
9,47,53
10,30,70
11,14,86
12,8,92
13,8,92
14,4,96
15,1,99
16,1,99
17,0,100
